ticker,year,e_score,s_score,g_score,total_score
LMT,2022,5.27,15.93,7.34,28.53
LUV,2021,10.04,15.43,5.98,31.44
LUV,2022,11.29,14.89,6.21,32.39
LVS,2019,1.64,9.84,8.49,20.0
LVS,2020,1.59,9.19,8.18,18.96
LVS,2021,1.81,8.1,8.66,18.56
LVS,2022,1.39,7.83,8.54,17.77
LYB,2019,16.23,2.75,7.35,25.97
LYB,2020,15.94,2.8,7.1,25.84
LYB,2021,16.35,2.88,7.1,26.33
LYB,2022,16.64,2.13,6.02,24.79
MAA,2019,5.58,7.03,6.29,18.91
MAA,2020,5.75,7.02,5.96,18.73
MAA,2021,6.03,7.12,5.61,18.76
MDT,2019,2.48,13.41,9.96,25.88
MDT,2020,2.51,13.97,9.17,25.65
MDT,2021,2.52,13.9,7.73,24.16
MDT,2022,2.37,12.88,7.64,22.9
MGM,2019,2.46,11.05,12.01,26.29
MGM,2020,2.24,11.11,11.98,25.33
MGM,2021,2.59,12.31,12.01,26.91
MGM,2022,2.34,13.01,10.83,26.16
MHK,2018,5.55,4.29,4.56,14.41
MHK,2019,5.56,4.54,4.76,14.9
MHK,2020,5.64,4.49,4.71,14.85
MHK,2021,5.44,4.45,4.43,14.33
MKC,2017,10.91,13.72,5.62,30.32
MKC,2019,10.64,15.16,6.16,31.89
MKC,2021,9.03,14.1,5.27,28.4
MLM,2019,19.02,5.03,9.14,33.78
MLM,2020,19.19,4.66,8.65,32.51
MLM,2021,17.75,4.9,8.77,31.43
MLM,2022,18.55,4.86,8.82,32.24
MMC,2019,0.07,7.53,10.77,18.41
MMC,2020,0.09,8.06,10.8,18.93
MMC,2021,0.11,8.36,10.88,19.34
MMM,2021,12.95,13.84,8.23,35.02
MMM,2022,12.62,13.57,7.84,34.03
MMM,2023,17.22,13.59,6.54,37.35
MPC,2018,21.29,9.48,6.08,37.36
MPC,2019,22.55,9.48,6.11,38.11
MPC,2020,19.36,8.46,5.54,33.36
MPC,2021,15.68,7.07,5.3,28.04
MRK,2018,1.63,15.46,11.44,28.64
MRK,2019,1.6,15.2,11.06,28.0
MRK,2020,1.63,14.52,11.07,27.22
MRK,2021,0.88,11.28,10.52,22.67
MSCI,2019,0.13,13.18,6.93,23.01
MSCI,2021,0.41,14.45,5.74,20.6
MSCI,2022,1.61,5.41,5.39,12.41
MTB,2020,2.12,12.8,12.74,27.66
MTB,2021,2.04,13.31,11.94,27.29
MTB,2022,2.2,12.77,11.19,26.16
MTD,2019,0.92,6.1,5.62,12.71
MTD,2020,0.92,5.21,5.76,11.9
MTD,2021,0.78,5.71,5.51,12.0
NEM,2019,10.41,9.06,5.65,25.13
NEM,2020,9.66,9.06,5.04,23.77
NEM,2021,8.91,10.88,4.94,24.73
NEM,2022,7.8,9.37,5.09,22.26
NRG,2019,19.68,11.27,7.84,38.88
NRG,2020,20.93,11.35,7.91,40.19
NRG,2021,17.26,8.95,5.55,31.75
NRG,2022,17.26,8.95,5.46,31.66
NUE,2021,12.3,15.22,9.23,36.75
NUE,2022,10.07,14.21,9.39,33.66
ORCL,2014,0.44,9.8,6.69,17.39
ORCL,2016,0.43,10.39,6.54,17.67
ORCL,2018,0.42,10.62,6.86,17.82
ORCL,2020,0.43,10.96,6.75,18.13
OXY,2021,19.72,10.85,6.61,37.17
PANW,2021,0.75,7.98,5.7,14.43
PCG,2019,7.55,26.87,8.49,42.54
PCG,2020,7.8,26.87,8.46,43.13
PCG,2021,7.73,26.55,7.91,42.18
PCG,2022,8.41,20.65,6.17,35.23
PGR,2019,2.06,7.78,13.32,23.15
PGR,2020,2.06,8.78,13.41,24.24
PGR,2021,1.95,10.0,12.33,24.27
PGR,2022,1.72,8.38,10.96,21.06
PHM,2015,7.62,8.73,5.02,21.47
PHM,2016,7.81,9.42,4.98,22.07
PHM,2018,7.6,8.76,4.96,21.29
PKG,2019,13.2,2.1,4.35,19.7
PKG,2020,13.24,2.07,4.2,19.5
PKG,2021,10.88,1.67,4.02,16.57
PKG,2022,9.78,1.39,3.77,14.94
PNC,2018,1.94,10.26,8.82,21.7
PNC,2019,1.84,10.28,8.2,20.82
PNC,2020,1.64,10.63,8.17,20.43
PNC,2021,1.77,12.39,8.53,22.7
PNR,2019,8.73,15.61,6.9,31.27
PNR,2020,9.49,15.52,7.05,32.06
PNR,2021,9.83,14.8,7.25,31.88
PNW,2019,11.31,9.81,5.97,27.16
PNW,2020,11.54,10.29,6.16,28.0
PNW,2022,12.15,9.52,6.02,27.7
PPG,2017,13.17,8.8,7.88,29.75
PPG,2018,14.17,8.79,8.73,31.36
PPG,2021,9.91,8.53,7.76,26.19
PPG,2022,9.32,7.69,7.43,24.45
PSX,2020,18.59,7.07,4.73,30.39
PSX,2021,18.61,8.08,5.31,31.99
PSX,2022,16.39,7.0,5.9,29.29
PWR,2019,9.07,16.88,12.02,37.94
PWR,2020,9.07,16.49,11.85,37.41
PWR,2021,8.79,16.88,10.5,36.17
PXD,2019,23.21,11.41,9.37,43.54
PXD,2020,23.34,12.72,9.12,45.19
PXD,2021,17.0,9.81,8.85,35.65
PXD,2022,18.43,8.97,9.05,36.45
RJF,2020,1.69,12.46,14.34,28.48
RJF,2021,1.81,12.49,13.18,27.47
RJF,2022,1.43,11.23,12.39,25.05
RJF,2023,1.76,10.8,12.93,25.5
RMD,2019,4.28,12.16,10.98,27.29
RMD,2020,4.42,12.4,10.81,27.62
RMD,2021,4.1,12.5,10.57,27.17
RMD,2022,3.36,12.39,10.68,26.44
ROK,2019,6.49,9.06,6.73,22.29
ROK,2020,6.06,9.42,6.82,22.3
ROK,2021,5.51,9.52,6.53,21.56
RSG,2019,12.83,7.81,3.81,24.53
RSG,2020,13.04,6.95,3.79,23.78
RSG,2021,12.11,6.4,3.72,22.22
SCHW,2021,2.15,10.52,12.43,25.1
SCHW,2022,2.25,10.15,11.59,23.99
SHW,2019,13.54,11.13,6.38,31.05
SHW,2020,13.12,11.2,6.1,30.42
SHW,2021,12.62,11.06,5.79,29.46
SJM,2019,10.81,16.35,6.39,33.62
SJM,2020,11.03,11.97,6.13,29.13
SJM,2021,11.07,9.85,6.2,27.12
SJM,2022,12.36,12.42,6.17,30.95
SLB,2019,9.92,6.51,7.37,23.78
SLB,2020,9.97,7.0,7.31,24.28
SLB,2021,9.07,9.18,7.08,25.33
SLB,2022,8.1,9.16,6.27,23.53
SPGI,2019,1.41,5.86,6.11,13.39
SPGI,2020,1.41,6.07,5.87,13.35
SPGI,2021,1.57,5.77,5.37,12.71
SPG,2019,4.26,4.8,6.71,15.73
SPG,2020,4.47,4.77,5.87,15.12
SPG,2021,5.12,4.58,5.16,14.87
SPG,2022,4.28,4.22,6.05,14.55
SRE,2019,13.21,10.28,5.93,29.4
SRE,2020,13.62,10.28,5.82,29.72
SRE,2021,14.42,10.08,5.6,30.1
STT,2019,1.89,11.33,8.22,21.44
STT,2020,1.72,11.85,8.32,21.89
STT,2021,1.56,12.43,8.52,22.5
STT,2022,1.64,11.67,8.34,21.65
STZ,2020,8.14,9.33,5.94,23.4
STZ,2021,9.02,9.34,4.97,23.33
STZ,2022,9.95,9.76,5.4,25.11
SWK,2018,7.25,18.26,9.03,34.1
SWK,2019,6.78,17.29,8.88,32.4
SWK,2020,7.14,16.54,8.56,32.22
SWK,2021,5.72,12.55,8.47,26.74
SYF,2019,0.17,12.83,8.7,21.7
SYF,2020,0.15,12.61,8.16,20.92
SYF,2021,0.13,12.09,7.1,19.33
SYK,2019,4.0,20.79,12.28,37.07
SYK,2020,4.46,19.57,12.05,36.08
SYK,2021,4.89,17.11,11.72,33.72
SYK,2022,4.05,14.52,11.57,30.15
SYY,2019,2.51,5.92,4.56,13.04
SYY,2020,2.56,5.58,4.65,12.8
SYY,2021,2.36,5.03,4.48,11.87
SYY,2022,2.66,4.81,4.66,12.13
TDG,2022,12.84,17.85,8.29,38.98
TFC,2020,2.01,13.02,10.39,25.42
TFX,2019,5.39,17.81,8.15,31.47
TFX,2020,4.64,16.47,7.88,28.98
TFX,2021,4.7,16.42,7.89,29.01
TFX,2022,4.81,16.39,8.05,29.26
TGT,2019,2.06,9.33,5.14,16.72
TGT,2020,1.95,8.3,5.16,15.41
TGT,2021,1.99,7.63,5.34,14.95
TGT,2022,2.13,7.58,5.06,14.77
TJX,2019,2.14,7.6,5.63,15.35
TJX,2020,2.08,7.36,5.49,14.92
TJX,2021,2.03,7.19,5.39,14.61
TJX,2022,1.94,7.35,5.33,14.61
TPR,2019,1.66,6.82,5.74,14.19
TPR,2020,1.68,6.9,5.86,14.46
TPR,2021,1.16,7.46,5.05,13.66
TRV,2019,1.55,9.07,12.95,23.58
TRV,2020,1.55,9.16,12.09,22.8
TRV,2021,1.44,8.7,11.02,21.16
TRV,2022,1.08,8.2,10.53,19.79
TSN,2018,14.94,13.61,14.67,42.77
TSN,2019,14.28,14.25,13.28,41.72
TSN,2020,15.3,15.55,12.96,43.81
TSN,2021,12.66,13.47,10.03,36.16
TXT,2018,10.29,19.16,7.44,37.36
TXT,2019,10.6,19.61,7.36,37.85
TXT,2020,10.99,19.99,7.19,38.18
TXT,2021,9.8,18.25,7.34,35.39
UDR,2019,5.74,6.91,6.06,18.73
UDR,2020,4.76,5.57,5.84,16.17
UDR,2021,3.77,4.23,5.17,13.17
UDR,2022,3.2,3.83,5.28,12.31
UHS,2021,3.33,21.49,9.65,34.48
UHS,2022,3.45,19.39,8.72,31.57
UNH,2019,0.03,15.1,6.01,20.94
UNH,2020,0.03,14.9,5.95,20.88
UNH,2021,0.03,15.16,5.79,20.99
UNH,2022,0.03,11.59,5.89,17.51
UPS,2020,5.53,9.35,6.18,21.06
UPS,2021,5.6,9.35,5.89,20.84
UPS,2022,4.92,9.45,5.36,19.72
USB,2020,1.54,13.15,12.08,26.78
VLO,2019,18.96,8.76,5.57,34.3
VLO,2020,21.93,9.9,5.41,37.25
VMC,2019,18.95,4.93,8.9,33.2
VMC,2020,19.61,4.85,8.83,33.29
VMC,2021,15.18,5.17,8.59,28.93
VMC,2022,15.61,4.56,8.98,29.15
VTR,2019,4.84,4.67,4.95,14.38
VTR,2020,4.8,4.45,4.57,13.82
VTR,2021,3.4,4.03,4.71,12.14
VTR,2022,2.75,4.28,5.38,12.4
VZ,2020,1.97,11.33,6.37,19.67
VZ,2021,1.71,10.2,6.14,18.05
VZ,2022,3.16,9.04,5.63,17.83
VZ,2023,3.74,9.59,5.39,18.73
WEC,2018,18.46,10.5,5.74,34.46
WEC,2019,17.19,9.94,5.7,32.84
WEC,2020,17.43,9.59,5.6,32.62
WEC,2021,17.85,9.24,5.26,32.36
WFC,2019,1.16,14.57,15.3,31.07
WFC,2020,1.15,14.17,15.41,30.72
WFC,2021,1.24,14.89,15.4,31.53
WFC,2022,1.94,15.4,15.51,32.84
WMB,2019,15.42,13.17,3.36,32.0
WMB,2020,13.77,10.26,3.33,27.36
WMB,2021,9.0,8.52,3.22,20.75
WMB,2022,9.53,9.79,3.16,22.49
WMT,2019,3.47,19.64,8.07,30.14
WMT,2020,3.7,17.6,7.34,28.66
WMT,2021,3.36,17.22,6.83,27.41
WMT,2022,4.4,15.79,6.31,26.49
WRB,2019,2.02,10.89,16.47,29.32
WRB,2020,1.72,10.62,15.62,27.96
WRB,2021,2.0,8.15,14.57,24.73
XOM,2018,18.52,10.29,8.46,37.42
XOM,2019,18.64,10.16,8.46,37.27
XOM,2021,16.14,9.91,8.01,34.06
XOM,2022,18.75,10.06,8.13,36.93
XYL,2019,2.82,9.81,5.48,18.14
XYL,2020,2.94,9.56,5.37,17.86
XYL,2021,3.53,7.81,5.11,16.45
YUM,2019,4.1,10.86,5.39,20.36
YUM,2020,3.35,10.55,4.58,18.48
YUM,2021,3.82,12.39,4.5,20.72
YUM,2022,4.25,12.13,4.74,21.12
ZBH,2019,3.8,18.2,12.41,34.25
ZBH,2020,4.3,18.72,11.08,34.1
ZBH,2021,4.74,17.84,10.35,32.94
ZTS,2020,2.72,13.98,11.49,28.19
ZTS,2021,1.98,9.39,10.63,21.99
CHTR,2019,2.53,9.1,7.97,19.65
CHTR,2020,2.22,9.86,7.89,19.97
CHTR,2021,2.65,10.84,8.08,21.57
CHTR,2022,5.57,13.1,7.76,26.43
ABT,2021,3.02,15.68,10.4,29.1
ABT,2021,3.02,15.68,10.4,29.1
EFX,2022,0.16,18.63,6.95,25.73
MSI,2018,1.4,8.98,5.48,15.46
MSI,2019,1.4,8.55,5.48,15.21
