ticker,year,e_score,s_score,g_score,total_score
INTC,2020,4.33,5.14,6.57,16.05
INTC,2021,3.84,6.03,6.48,16.36
INTU,2019,1.08,10.9,5.69,17.58
INTU,2020,1.12,10.83,5.67,17.62
INTU,2021,1.11,9.98,5.62,16.7
ISRG,2020,5.23,16.27,11.12,32.62
ISRG,2021,4.97,14.08,10.77,29.82
ISRG,2022,4.57,11.17,10.03,25.76
ISRG,2023,3.65,9.58,7.84,21.07
JBHT,2020,6.32,8.44,6.25,21.02
JBHT,2021,4.14,5.63,5.37,15.14
JBHT,2022,3.0,6.01,5.32,14.32
JKHY,2020,0.18,11.52,7.2,18.89
JKHY,2022,0.93,9.54,5.23,15.7
JNPR,2019,0.39,8.35,7.75,16.2
JNPR,2021,0.38,9.27,6.52,16.17
JNPR,2022,1.66,8.35,6.77,16.79
KHC,2017,16.46,19.06,6.35,40.59
KHC,2020,11.94,14.12,6.27,32.32
KHC,2021,12.89,14.33,6.77,33.99
KHC,2022,13.95,14.4,6.71,35.06
KLAC,2017,6.31,7.51,6.46,20.44
KLAC,2018,6.13,7.2,6.33,19.83
KLAC,2020,6.47,6.9,6.16,19.54
KLAC,2021,6.84,6.73,5.96,19.52
LKQ,2020,4.57,5.4,4.0,13.98
LKQ,2021,4.58,5.41,3.81,13.8
LKQ,2022,4.08,4.97,3.81,12.87
LRCX,2019,4.18,5.65,6.49,16.31
LRCX,2020,4.52,5.81,6.44,16.76
LRCX,2021,4.94,5.05,5.56,15.56
LRCX,2022,4.7,4.15,5.22,14.07
LULU,2020,1.12,6.41,6.07,13.6
MCHP,2019,17.12,9.74,8.52,35.3
MCHP,2020,16.04,9.44,8.64,34.12
MCHP,2021,15.07,9.32,8.64,33.03
MDLZ,2019,8.99,10.2,5.8,25.07
MDLZ,2020,9.67,10.8,5.72,26.18
MDLZ,2021,7.52,10.62,5.16,23.29
MSFT,2019,0.45,9.71,5.23,15.45
MSFT,2020,0.46,9.57,5.14,15.17
MSFT,2021,0.46,9.11,4.85,14.42
MSFT,2022,0.82,8.17,5.1,14.08
NCLH,2019,12.47,11.12,3.9,27.67
NCLH,2020,12.63,10.98,3.93,27.54
NCLH,2021,12.54,10.97,4.47,27.99
NCLH,2022,11.98,10.12,4.51,26.61
NDAQ,2019,2.38,7.95,7.84,18.15
NDAQ,2020,2.16,7.4,7.3,16.87
NDAQ,2021,1.59,6.3,6.41,14.3
NDAQ,2022,1.81,4.56,5.56,11.93
NDSN,2021,9.55,13.34,5.65,28.53
NDSN,2022,9.45,12.51,5.6,27.56
NTAP,2019,2.77,9.51,6.76,18.63
NTAP,2021,2.77,8.15,6.19,17.11
NTAP,2022,2.61,7.2,6.05,15.87
NTRS,2018,2.54,13.74,11.39,27.78
NTRS,2019,2.54,13.0,11.11,27.05
NTRS,2020,2.24,12.34,10.83,25.41
NVDA,2019,1.91,4.66,6.85,13.49
NVDA,2020,2.12,4.26,6.64,13.02
NVDA,2021,2.37,4.14,6.63,13.15
NVDA,2022,2.44,4.46,6.1,13.0
NXPI,2019,9.26,7.02,7.84,24.15
NXPI,2020,9.02,6.97,7.37,23.36
NXPI,2021,7.86,6.61,5.07,19.54
NXPI,2022,8.51,7.13,5.39,21.02
PAYX,2019,0.15,10.92,6.91,18.78
PAYX,2020,0.11,9.2,6.84,16.16
PAYX,2021,0.32,9.32,6.6,16.25
PCAR,2021,8.31,14.87,9.1,32.28
PFG,2019,1.81,9.21,10.99,21.86
PFG,2020,1.94,8.55,11.9,22.39
PFG,2021,2.11,7.55,10.84,20.5
PTC,2018,1.81,15.51,6.7,24.04
PTC,2019,1.64,13.55,6.72,22.21
PTC,2021,1.26,12.1,5.91,19.26
PYPL,2019,0.09,11.64,7.87,19.52
PYPL,2020,0.09,11.4,7.21,18.69
PYPL,2021,0.22,10.8,6.44,17.45
QCOM,2019,1.93,6.44,10.73,18.91
QCOM,2020,3.51,6.16,10.31,19.97
QCOM,2021,6.37,3.49,9.18,19.04
QCOM,2022,5.45,4.29,7.81,17.55
QRVO,2019,19.64,9.0,7.69,36.33
QRVO,2021,15.96,8.91,7.23,32.1
QRVO,2022,14.11,8.64,7.41,30.15
QRVO,2023,12.72,8.5,7.58,28.8
REGN,2019,0.06,16.69,8.1,24.85
REGN,2020,0.03,15.28,7.98,23.3
REGN,2021,0.01,13.76,7.54,21.32
SBAC,2019,2.46,8.39,7.36,18.11
SBAC,2020,2.36,7.76,7.2,17.32
SBAC,2021,2.78,7.05,6.44,16.27
SBUX,2019,3.15,12.99,5.11,21.23
SBUX,2020,3.18,13.03,4.95,21.15
SBUX,2021,2.87,13.53,4.57,20.98
SBUX,2022,6.11,14.41,4.24,24.78
SNPS,2019,1.18,13.05,5.81,19.85
SNPS,2020,1.18,12.11,5.45,18.74
SNPS,2021,1.1,9.07,4.3,14.46
SNPS,2022,2.49,7.16,4.12,13.76
STLD,2018,15.5,13.09,7.33,35.96
STLD,2019,14.24,13.62,7.24,35.3
STLD,2020,13.41,14.22,6.74,34.37
STX,2019,1.61,8.11,5.84,15.55
STX,2020,1.59,7.88,5.81,15.27
STX,2021,1.59,3.8,5.21,10.6
SWKS,2019,15.39,8.99,8.81,33.01
SWKS,2020,14.59,9.09,8.46,32.14
SWKS,2021,15.26,9.51,8.36,33.12
SWKS,2022,13.82,9.32,8.2,31.34
TMUS,2020,4.8,13.6,7.59,25.99
TMUS,2021,4.27,14.36,7.72,26.35
TMUS,2022,3.49,13.38,7.47,24.33
TRMB,2017,2.34,5.42,4.65,12.91
TRMB,2019,1.99,4.68,5.27,11.93
TRMB,2020,2.79,4.25,5.26,12.3
TROW,2018,2.84,12.56,9.01,24.03
TROW,2019,2.85,12.34,8.84,23.72
TROW,2020,2.96,11.72,8.64,23.32
TROW,2021,2.14,11.76,6.36,20.25
TSLA,2019,2.8,17.62,10.38,31.03
TSLA,2020,2.77,17.34,11.12,31.22
TSLA,2021,2.87,17.31,10.86,31.04
TXN,2019,6.77,5.0,7.25,18.97
TXN,2020,6.59,5.22,6.33,18.14
TXN,2021,6.97,5.38,5.8,18.14
TXN,2022,8.81,5.03,6.32,20.16
VRSK,2019,0.11,15.0,6.73,22.01
VRSK,2020,0.11,14.58,6.74,21.43
VRSK,2021,0.11,14.69,6.46,21.25
VRTX,2018,0.16,18.09,7.9,26.16
VRTX,2019,0.16,18.04,7.85,26.08
VRTX,2021,0.15,17.22,7.5,24.88
VRTX,2022,0.52,15.88,7.41,23.82
WBA,2019,2.63,10.04,4.5,17.49
WBA,2020,2.38,10.59,4.51,17.48
WBA,2021,1.89,11.04,4.67,17.6
WBA,2022,2.1,11.52,4.73,18.35
WDC,2018,3.16,9.26,7.09,19.65
WDC,2019,3.01,7.75,7.39,18.25
WDC,2021,2.53,4.39,5.69,12.61
WDC,2022,2.01,4.07,5.62,11.7
WYNN,2019,3.6,13.9,10.58,28.07
WYNN,2020,3.61,11.88,11.4,26.89
WYNN,2021,3.78,11.69,11.54,27.0
WYNN,2022,3.55,11.98,10.94,26.47
ABBV,2019,1.03,17.06,11.66,30.63
ABBV,2020,0.96,17.05,12.54,30.56
ABBV,2021,0.65,17.0,11.08,28.73
ABT,2019,3.71,15.31,11.96,30.84
ABT,2020,3.36,15.86,11.11,30.34
ABT,2021,3.02,15.68,10.4,29.1
ACN,2017,0.92,8.62,5.8,15.16
ACN,2018,0.97,8.13,5.86,15.1
ACN,2019,0.96,8.1,6.19,15.26
ACN,2020,0.76,6.58,5.98,13.32
ADP,2017,0.08,9.82,6.32,16.34
ADP,2019,0.07,8.36,6.52,14.63
ADP,2020,0.07,7.55,6.0,13.63
ADP,2021,0.27,7.09,5.54,12.9
AEE,2020,18.26,12.17,6.6,37.02
AEE,2022,15.2,8.37,5.62,29.18
AEP,2020,17.84,9.38,5.56,32.76
AEP,2021,19.5,9.83,5.28,34.61
AEP,2022,16.17,7.29,5.52,28.97
AEP,2023,12.66,8.1,5.38,26.14
AFL,2020,2.05,8.23,13.59,23.87
AFL,2021,2.38,7.88,13.01,23.27
AFL,2022,0.47,7.26,9.57,17.3
AIG,2019,1.86,11.58,16.31,29.62
AIG,2020,1.9,12.79,15.84,30.54
AIG,2021,1.94,12.46,14.88,29.29
AIZ,2020,1.36,11.17,13.48,26.01
AIZ,2021,1.34,10.54,13.14,25.01
AJG,2018,0.12,11.03,13.26,23.46
AJG,2019,0.12,11.04,13.46,23.99
AJG,2020,0.14,11.14,13.56,24.86
ALB,2019,17.64,8.71,8.43,35.3
ALB,2020,19.39,8.91,8.7,36.99
ALB,2021,19.09,8.97,8.77,36.83
AMP,2020,2.3,12.19,13.25,27.75
AMP,2021,2.4,10.04,12.73,25.17
AMP,2022,2.72,7.43,12.47,22.62
AMP,2023,2.33,7.52,11.58,21.44
AMT,2019,5.81,6.68,5.63,18.12
AMT,2020,5.81,6.68,5.6,18.09
AMT,2021,3.73,3.78,4.9,12.42
AMT,2022,2.41,3.48,5.01,10.89
AOS,2018,13.6,4.11,7.25,24.83
AOS,2020,10.21,13.15,7.72,31.07
AOS,2022,7.12,11.35,6.39,24.87
APD,2020,6.28,1.68,3.67,11.64
APD,2021,6.05,1.46,3.65,11.17
APD,2022,5.94,1.28,3.59,10.81
APD,2023,7.42,1.5,3.35,12.26
APTV,2019,4.12,7.54,7.65,19.3
APTV,2020,3.97,6.38,6.82,17.17
APTV,2021,3.77,4.71,5.33,13.81
ATO,2019,15.9,15.4,7.04,38.35
ATO,2020,14.34,14.54,6.65,35.54
ATO,2021,13.42,13.09,6.75,33.26
ATO,2022,14.15,13.05,6.58,33.79
AVB,2018,3.57,3.6,5.96,13.0
AVB,2019,3.54,3.69,5.62,12.81
AVB,2020,3.51,3.55,5.35,12.42
AVY,2019,13.3,1.58,4.38,19.25
AVY,2020,12.78,1.76,4.22,18.74
AVY,2021,12.19,1.93,4.0,18.12
AWK,2016,11.17,9.76,5.66,26.6
AWK,2018,11.97,9.92,5.98,27.93
AWK,2019,12.78,10.06,6.24,29.14
AWK,2021,13.23,9.74,5.5,28.48
AXP,2019,0.07,13.13,10.19,23.25
AXP,2020,0.06,11.74,9.87,21.68
AXP,2021,0.05,10.17,9.41,19.62
A,2019,0.88,9.48,7.19,17.6
A,2020,0.87,9.42,6.86,17.14
A,2021,0.87,9.44,6.29,16.6
BAX,2019,2.5,17.47,8.88,28.56
BAX,2020,2.56,16.84,9.05,28.45
BAX,2021,2.51,15.96,9.22,27.7
BBWI,2022,2.55,8.35,5.18,16.08
BDX,2018,3.45,16.51,11.25,31.84
BDX,2019,3.4,18.48,11.17,33.05
BDX,2020,3.41,18.26,10.64,32.31
BDX,2021,3.55,16.17,9.57,29.3
BK,2019,2.38,12.18,10.22,24.81
BK,2020,2.21,10.69,10.32,23.22
BK,2021,1.99,9.46,10.7,22.15
BMY,2016,1.52,14.37,9.69,26.01
BMY,2018,1.53,17.05,10.24,28.38
BMY,2020,1.37,15.77,10.98,28.1
BMY,2021,0.03,15.2,7.5,22.73
BWA,2019,5.57,10.83,7.98,24.62
BWA,2020,5.4,10.84,7.54,23.78
BWA,2021,4.94,9.54,7.21,21.69
BXP,2019,3.87,5.15,5.62,14.63
BXP,2020,3.82,5.09,5.37,14.28
BXP,2021,3.7,5.03,5.08,13.81
CAG,2019,9.76,14.03,5.85,29.63
CAG,2020,9.87,15.3,5.66,30.83
CAG,2021,10.97,16.37,4.95,32.29
CAG,2022,11.7,16.4,4.77,32.87
CAH,2019,1.91,8.93,5.53,16.37
CAH,2020,2.29,8.2,5.13,15.62
CAH,2021,2.45,5.37,4.51,12.33
CBRE,2019,0.98,2.77,3.62,7.39
CBRE,2020,1.66,2.74,3.58,7.98
CBRE,2021,2.13,2.7,3.51,8.33
CBRE,2022,1.27,2.48,3.24,6.99
CB,2019,1.53,10.32,11.48,23.37
CB,2020,1.57,10.72,11.43,23.73
CB,2021,1.62,11.28,10.88,23.78
CB,2022,1.65,11.68,10.67,24.01
CCL,2019,8.3,8.16,3.64,20.08
CCL,2020,8.49,9.0,3.72,21.2
CCL,2021,9.18,9.46,3.85,22.48
CCL,2022,10.21,9.77,3.82,23.8
CFG,2019,2.02,14.57,11.93,29.1
CFG,2020,1.79,14.04,11.75,27.57
CFG,2021,1.87,12.49,11.16,25.51
CHD,2019,8.57,8.62,8.51,25.57
CHD,2020,8.76,8.62,7.96,25.34
CHD,2021,7.37,8.22,7.14,22.74
CHD,2022,6.53,6.53,6.59,19.66
CMA,2019,2.1,11.32,12.22,25.91
CMA,2020,2.05,11.94,12.66,26.65
CMA,2021,1.69,13.13,12.11,26.93
CMG,2019,5.37,14.5,5.51,26.54
CMG,2020,4.02,14.73,6.04,24.79
CMG,2021,3.97,14.63,5.68,24.28
CMI,2019,3.32,9.11,6.37,18.76
CMI,2020,3.45,9.01,6.29,18.75
CMI,2021,4.14,8.04,5.97,18.14
CMS,2019,14.98,8.88,5.05,28.77
CMS,2020,13.52,9.07,5.35,27.94
CMS,2021,12.78,8.22,5.33,26.33
CMS,2022,9.8,5.78,5.52,21.1
CNC,2021,0.14,15.86,6.68,22.68
CNC,2022,0.11,14.13,7.27,21.52
CNC,2023,0.09,13.28,6.86,20.25
CNP,2018,14.48,12.9,7.56,35.24
CNP,2020,13.81,11.66,6.1,31.57
CNP,2021,17.79,11.9,5.85,35.53
COF,2018,0.06,12.15,9.6,23.7
COF,2019,0.06,13.33,10.25,24.61
